task,BatchNormalizationNS8,BatchNormalizationNS256,BatchNormalizationNS64,BatchNormalizationNS32,BatchNormalizationNS512,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS128,Conv2DNS1024,Conv2DNS128,Conv2DNS64,Conv2DNS512,Conv2DNS256,DenseNS512,DenseNS128,DenseNS1024,DenseNS256,DenseNS64,DenseNS16,DenseNS8,DenseNS32
bn5a_branch2a,3136,98,392,784,49,25,1568,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bn5a_branch1,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5a_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn5a_branch2b,3136,98,392,784,49,25,1568,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5a_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn5a_branch2c,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5b_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn5b_branch2a,3136,98,392,784,49,25,1568,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5b_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn5b_branch2b,3136,98,392,784,49,25,1568,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5b_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn5b_branch2c,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5c_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn5c_branch2a,3136,98,392,784,49,25,1568,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5c_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn5c_branch2b,3136,98,392,784,49,25,1568,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5c_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn5c_branch2c,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fc1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4000,16000,2000,8000,32000,128000,256000,64000
